round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
197,0.043944,62.879125,192,1,94.3,,,,,,
198,0.042681,83.9911,192,1,93.702,,,,,,
199,0.046516,27.940756,192,1,93.563,,,,,,
200,0.048177,23.43111,192,1,93.92,138.49164480132436,0.49387866258621216,0.015625,1.3687431812286377,8,0.4375
201,0.048578,31.909849,192,1,93.998,,,,,,
202,0.035968,26.534649,192,1,93.961,,,,,,
203,0.045737,34.63403,192,1,93.859,,,,,,
204,0.041377,25.108127,192,1,94.126,,,,,,
205,0.056017,36.905816,192,1,93.973,,,,,,
206,0.062747,29.073272,192,1,93.987,,,,,,
207,0.056291,24.615804,192,1,93.832,,,,,,
208,0.049006,22.903822,192,1,93.868,,,,,,
209,0.048717,20.892185,192,1,93.953,,,,,,
210,0.047208,138.414017,192,1,93.875,,,,,,
211,0.048761,18.222329,192,1,94.092,,,,,,
212,0.044308,91.372999,192,1,93.937,,,,,,
213,0.047554,28.198814,192,1,93.831,,,,,,
214,0.047993,85.133438,192,1,93.912,,,,,,
215,0.039804,18.783567,192,1,93.823,,,,,,
216,0.048702,143.267648,192,1,93.977,,,,,,
217,0.050771,51.823208,192,1,93.856,,,,,,
218,0.055816,85.762244,192,1,93.836,,,,,,
219,0.054687,64.570038,192,1,93.807,,,,,,
220,0.0449,16.39328,192,1,94.0,62.36745065369344,0.4830653667449951,0.0,1.6921217441558838,7,0.4375
221,0.048339,54.88446,192,1,93.82,,,,,,
222,0.049989,18.048455,192,1,93.855,,,,,,
223,0.041542,99.84499,192,1,93.908,,,,,,
224,0.053545,23.847184,192,1,93.926,,,,,,
225,0.044395,24.499635,192,1,94.046,,,,,,
226,0.054347,46.628784,192,1,93.89,,,,,,
227,0.042505,44.366799,192,1,93.944,,,,,,
228,0.061073,50.242805,192,1,94.017,,,,,,
229,0.04689,45.260025,192,1,93.95,,,,,,
230,0.058892,24.532731,192,1,93.994,,,,,,
231,0.043218,26.093328,192,1,93.964,,,,,,
232,0.050314,28.201085,192,1,94.262,,,,,,
233,0.053581,30.482769,192,1,94.274,,,,,,
234,0.051423,83.169723,192,1,94.208,,,,,,
235,0.054653,85.625768,192,1,93.917,,,,,,
236,0.045542,19.387513,192,1,94.074,,,,,,
237,0.043405,96.612092,192,1,93.698,,,,,,
238,0.051096,81.34167,192,1,93.254,,,,,,
239,0.04685,62.553789,192,1,93.215,,,,,,
240,0.045455,22.401075,192,1,93.141,201.20328714762016,0.5093597173690796,0.0,1.3792096376419067,7,0.4375
241,0.063365,32.147179,192,1,93.106,,,,,,
242,0.04875,37.201978,192,1,93.037,,,,,,
243,0.047517,49.407621,192,1,93.096,,,,,,
244,0.049918,43.409834,192,1,93.028,,,,,,
245,0.049244,23.369418,192,1,93.026,,,,,,
246,0.04004,39.142659,192,1,92.987,,,,,,
247,0.044685,39.326724,192,1,93.108,,,,,,
248,0.045468,19.517684,192,1,93.066,,,,,,
249,0.047215,32.366839,192,1,93.031,,,,,,
250,0.051102,86.999383,192,1,92.988,,,,,,
251,0.044338,37.055002,192,1,93.036,,,,,,
252,0.044173,28.896195,192,1,96.233,,,,,,
253,0.049816,33.248164,192,1,93.137,,,,,,
254,0.050525,29.387079,192,1,93.042,,,,,,
255,0.035967,34.720843,192,1,93.099,,,,,,
256,0.044111,35.962126,192,1,93.156,,,,,,
257,0.047256,21.818034,192,1,93.211,,,,,,
258,0.038036,50.527555,192,1,93.022,,,,,,
259,0.063918,148.362768,192,1,93.063,,,,,,
260,0.052248,17.143774,192,1,93.022,81.40774426483101,0.42437422275543213,0.0,1.7459046840667725,9,0.4375
