round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
210,0.066225,9.775313,12800,1,38.745
211,0.065036,8.872474,12800,1,38.83
212,0.066637,6.494897,12800,1,38.73
213,0.065867,6.260858,12800,1,38.814
214,0.065674,6.809528,12800,1,38.723
215,0.066223,8.028944,12800,1,38.736
216,0.066998,7.583962,12800,1,38.879
217,0.066033,7.388187,12800,1,38.751
218,0.066351,4.905515,12800,1,38.826
219,0.0668,8.340192,12800,1,38.855
220,0.065604,6.710712,12800,1,38.778
221,0.064379,7.826454,12800,1,38.833
222,0.065965,12.427749,12800,1,38.726
223,0.066418,5.976106,12800,1,38.748
224,0.06631,8.20356,12800,1,38.81
225,0.065637,7.29367,12800,1,38.741
226,0.06575,7.732443,12800,1,38.793
227,0.065699,5.354292,12800,1,38.817
228,0.065242,7.578547,12800,1,38.731
229,0.065891,4.464915,12800,1,38.78
230,0.06536,7.903957,12800,1,38.711
231,0.06551,7.509616,12800,1,38.727
232,0.065518,9.475739,12800,1,38.795
233,0.064528,5.19053,12800,1,38.842
234,0.066525,9.048411,12800,1,69.085
235,0.06552,10.248872,12800,1,65.543
236,0.066444,5.511112,12800,1,62.272
237,0.065492,6.728124,12800,1,61.804
238,0.066026,8.610018,12800,1,63.067
239,0.064985,6.548448,12800,1,62.418
240,0.065997,4.555627,12800,1,62.773
241,0.06618,6.880176,12800,1,65.318
242,0.065439,5.682226,12800,1,66.341
243,0.066083,8.400907,12800,1,63.052
244,0.065393,9.793487,12800,1,68.985
245,0.066605,8.779881,12800,1,69.237
246,0.065121,7.224283,12800,1,68.773
247,0.064781,4.773845,12800,1,66.727
248,0.064989,7.722687,12800,1,70.195
249,0.066151,7.405432,12800,1,71.841
250,0.065683,6.696273,12800,1,66.993
251,0.066689,7.517662,12800,1,61.875
252,0.065325,6.042905,12800,1,65.782
253,0.066233,7.872115,12800,1,65.464
254,0.065802,6.969221,12800,1,65.702
255,0.064501,7.432438,12800,1,64.004
256,0.065224,7.487814,12800,1,65.034
257,0.063617,8.52239,12800,1,61.078
258,0.066102,4.770067,12800,1,61.965
259,0.065553,6.46734,12800,1,62.906
260,0.066357,5.126332,12800,1,64.197
261,0.065616,10.429592,12800,1,61.082
262,0.065116,9.13632,12800,1,61.91
263,0.065289,9.369104,12800,1,64.653
